STT	Tr¶ lêi	C©u Hái		B	C	D
1020	A	Loµi th©n cá lín nhÊt?	Tre	Tróc	Cá lau	Cá gÊu
1021	A	Ngµy h¹ chÝ lµ ngµy nµo?	22-6	22-4	23-9	23-5
1022	A	Ngµy thu ph©n lµ ngµy nµo?	23-9	22-6	22-4	23-5
1023	A	Heraclit coi c¸i g× lµ yÕu tè ®Çu tiªn cña nguån gèc loµi ng­êi?	Löa	N­íc	Vò trô	§Êt
1024	A	Ch©n ®µ ®iÓu cã bao nhiªu mãng?	2	1	3	4
1025	A	Quèc hiÖu §¹i ViÖt chÝnh thøc b¾t ®Çu tõ n¨m nµo nµo?	1054	1052	1053	1055
1026	A	Con sªn cã mÊy c¸i mòi?	4	2	3	1
1027	A	Sao H«m - Sao Mai lµ tªn gäi kh¸c cña hµnh tinh nµo?	Sao kim	Sao méc	Sao thæ	Sao thñy
1028	A	Quang Trung ®· hÑn qu©n sÜ mïng mÊy tÕt sau khi chiÕn th¾ng sÏ më tiÖc ¨n mõng?	7	4	5	6
1029	A	1 MÉu b»ng bao nhiªu sµo?	10	5	15	100
1030	A	Nguyªn tö Cacbon cã bao nhiªu electron?	6	4	8	9
1031	A	Quª h­¬ng cña cèi xay giã?	Iran	Hµ Lan	BØ	Italia
1032	A	Mét ng­êi sinh ngµy 29.2.1960. §Õn n¨m 2006 ng­êi ®ã ®· tæ chøc sinh nhËt bao nhiªu lÇn?	11	10	12	13
1033	A	B¹n h·y cho biÕt ng­êi ®Çu tiªn ®¹t gi¶i Nobel khu vùc §«ng Nam ¸ mang quèc tÞch n­íc nµo?	ViÖt Nam	Lµo	Th¸i Lan	Indonexia
1034	A	B¸o thanh niªn ®­îc xuÊt b¶n n¨m nµo?	1925	1924	1954	1945
1035	A	Kim lo¹i dÉn ®iÖn tèt nhÊt?	Vµng	§ång	Nh«m	B¹c
1036	A	Sinh vËt ®­îc chia thµnh bao nhiªu giíi?	5	2	4	7
1037	A	Trong truyÖn ng¾n "¤ng l·o ®¸nh c¸ vµ con c¸ vµng", «ng l·o ®· ra biÓn mÊy lÇn?	6	3	4	5
1038	A	Ng«n ng÷ mµ Singapo ®ang dïng hiÖn nay lµ ng«n ng÷ nµo trong c¸c ng«n ng÷ sau?	Anh ng÷	Quèc ng÷	Ph¸p ng÷	T©y ban nha
1039	A	Ch©m cøu lµ dïng c©y kim ®©m vµo n¬i nµo trªn c¬ thÓ ng­êi?	HuyÖt	§Çu	Chç bÞ bÖnh	Tïy Ng­êi ch©m cøu
1040	A	§éi bãng nµo ®· v« ®Þch WC 1998?	Ph¸p	Brazil	Italia	§øc
1041	A	Thµnh phè ®­îc coi lµ s¹ch nhÊt thÕ giíi thuéc n­íc nµo?	Singapore	§øc	Mü	Italia
1042	A	§éi bãng chuyÒn nµo ®· tõng 8 lÇn v« ®Þch thÕ giíi?	Brazil	Mü	ViÖt Nam	Trung Quèc
1043	A	Quèc k× cña céng hßa liªn bang §øc cã bao nhiªu mµu?	3	2	4	5
1044	A	Bµi h¸t "Thanh niªn lµm theo lêi b¸c" hay "§oµn ca" lµ s¸ng t¸c cña ai?	Hoµng Hßa	TrÇn HiÕu	TrÇn TiÕn	kh«ng ph¶i 3 t¸c gi¶ trªn
1045	A	C©y ca cao cã nguån gèc tõ ch©u lôc nµo?	Ch©u MÜ	Ch©u ¸	Ch©u ¢u	Ch©u Phi
1046	A	ë m¾t b·o kh«ng khÝ chuyÓn ®éng nh­ thÕ nµo?	Kh«ng chuyÓn ®éng	Theo chiÒu kim ®ång hå	Ng­îc chiÒu kim ®ång hå	Tïy vµo c¬n b·o
1047	A	ViÖt Nam cã bao nhiªu khu b¶o tån thiªn nhiªn?	61	5	2	60
1048	A	Thùc vËt ®­îc chia lµm mÊy ngµnh?	4	2	3	5
1049	A	Céng hßa liªn bang §øc cã bao nhiªu bang?	16	15	17	18
1050	A	Hoa hËu hoµn vò n¨m 2007 thuéc vÒ quèc gia nµo?	NhËt B¶n	Velezela	Trung Quèc	Mü
1051	A	Quèc gia cã l­îng khÝ th¶i lín nhÊt thÕ giíi?	Australia	Mü	§øc	Anh
1052	A	Trong bãng ®¸ tõ "tÕt" cã nghÜa lµ g×?	§¸nh ®Çu	§¸ ph¹t	Ph¹t gãc	§Êm bãng
1053	A	2-9-1945 B¸c Hå ®äc b¶n Tuyªn Ng«n §éc LËp t¹i Qu¶ng trêng Ba §×nh khai sinh ra níc VNDCCH. B¹n cho biÕt ®©y lµ b¶n tuyªn ng«n lÇn thøc mÊy cña d©n téc ta?	3	1	2	4
1054	A	Côm tõ nµo cßn thiÕu trong c©u th¬ sau cña Huy CËn: "ThuyÒn vÒ n­íc l¹i sÇu tr¨m ng¶, ... l¹c mÊy dßng"?	Cñi mét cµnh kh«	Mét c¸nh bÌo tr«i	Mét c¸nh bÌo ®¬n	Ghç l¹c rõng xa
1055	A	§éi bãng nµo xÕp thø ba gi¶i ngo¹i h¹ng Anh mïa bãng 2006 - 2007?	Liverpool	Manchester United	Arsenal	Chelsea
1056	A	Cung A Phßng, mét c«ng tr×nh kiÕn tróc huyÒn tho¹i trong lÞch sö Trung Quèc, ®­îc x©y dùng trong thêi nµo?	TÇn	H¸n	§­êng	Tèng
1057	A	Lêi tho¹i "Mét lÇn, y ®­îc thÊy «ng B¸ KiÕn sai trãi mét lóc 17 ng­êi vµ ®¸nh mét ng­êi låi m¾t", lµ håi øc c¶u nh©n vËt nµo?	Gi¸o Thø	ChÝ PhÌo	L·o H¹c	Nhµ V¨n Hé
1058	A	Bé phim "Trë vÒ" (1994) do ai ®¹o diÔn?	§Æng NhËt Minh	§íi Xu©n ViÖt	H¶i Ninh	NguyÔn VÜnh S¬n
1059	A	Mét mÐt khèi n­íc t­¬ng ®­¬ng víi bao nhiªu lÝt n­íc?	1000	10	100	10000
1060	A	Theo kinh nghiÖm d©n gian th× "Giã ®«ng lµ ...lóa chiªm"?	Chång	B¹n	MÑ	Em
1061	A	Trong bµi th¬ C«n S¬n, NguyÔn Tr·i ®· miªu t¶ tiÕng suèi víi nh¹c cô nµo?	§µn cÇm	§µn t× bµ	§µn bÇu	§µn nguyÖt
1062	A	Ng­êi ta cho thªm ch× vµo trong x¨ng nh»m môc ®Ých g×?	Chèng ch¸y næ	T¨ng thÓ tÝch cña x¨ng	Gi¶m « nhiÔm m«i tr­êng	Gi¶m bay h¬i
1063	A	CÇu thñ ViÖt Nam nµo sau ®©y cã tªn trong danh s¸ch ®Ò cö Qu¶ bãng vµng ch©u ¸ 2008?	Nh­ Thµnh	Tµi Em	Minh Ph­¬ng	Minh Ch©u
1064	A	Ca ghÐp thËn thµnh c«ng ®Çu tiªn ë ViÖt Nam ®­îc thùc hiÖn vµo n¨m nµo?	1992	1990	1991	1993
1065	A	§iÖu móa "Tr¸p trÇu" lµ ®iÖu móa trong ®¸m c­íi cña d©n téc nµo?	Kh¬ me Nam Bé	Ch¨m	V©n KiÒu	£ §ª
1066	A	§µn ®¸y cã mÊy ®¸y?	Kh«ng cã ®¸y	1	2	3
1067	A	C©u l¹c bé bãng ®¸ nµo ®­îc b×nh chän lµ "c©u l¹c bé vÜ ®¹i nhÊt thÕ kû 20"?	Real Madrid	Manchester	Argentina 	T©y Ban Nha
1068	A	Bµi th¬ "D­¬ng phô hµnh" do ai s¸ng t¸c?	Cao B¸ Qu¸t	TrÇn Xu©n Èn	ChÕ Lan Viªn	NguyÔn V¨n Tè
1069	A	ë loµi chã, tuyÕn må h«i tËp trung hÇu hÕt ë ®©u?	L­ìi	Tai	§Çu	Bông
1070	A	Bµi h¸t M­êi chÝn th¸ng t¸m lµ s¸ng t¸c cña ai?	Xu©n Oanh	TrÇn TiÕn	TrÇn HiÕu	Minh Qu©n
1071	A	Con chim Kiwi lµ biÓu t­ëng cña n­íc nµo?	New Zealand	Hµn Quèc	NhËt B¶n	§µi Loan
1072	A	Khëi nghÜa diÔn ra n¨m 722 do ai l·nh ®¹o?	Mai H¾c §Õ	Hoµng Hoa Th¸m	Hai Bµ Tr­ng	Bµ TriÖu
1073	A	Hµnh tinh nãng nhÊt hÖ mÆt trêi?	Sao Kim	Sao Thæ	Sao Háa	Sao Thñy
1074	A	Bé tem b­u chÝnh ®Çu tiªn cña VN in h×nh g×?	Ch©n dung Hå ChÝ Minh	H×nh chïa mét cét	H×nh b«ng sen	H×nh Hå G­¬m
1075	A	§éng vËt lín nhÊt thÕ giíi hiÖn nay?	C¸ voi xanh	Con voi	Tª Gi¸c	Loµi kh¸c
1076	A	1 ph©n tö mªtan cã bao nhiªu nguyªn tö Hi®ro?	4	2	3	6
1077	A	Tæng thèng John Kenedy bÞ ¸m s¸t vµo n¨m nµo?	1963	1960	1962	1965
1078	A	ViÖt Nam chÝnh thøc trë thµnh thµnh viªn cña tæ chøc APEC tõ n¨m nµo?	1998	1996	2000	2002
1079	A	Gi¶i th­ëng c«ng nghÖ th«ng tin cña ViÖt Nam ®­îc trao giai vµo ngµy 1-1 hµng n¨m cã tªn lµ g×?	TrÝ tuÖ ViÖt Nam	Sao Khuª	Bµn tay vµng	¸nh s¸ng
1080	A	Bµi th¬ "Ng­êi ®i t×m h×nh cña n­íc" cña t¸c gi¶ nµo?	ChÕ Lan Viªn	TÕ Hanh	NguyÔn KhuyÕn	D­¬ng §øc TrÝ
1081	A	Gi¶i th­ëng Nobel trao cho c¸c nhµ khoa häc trong bao nhiªu lÜnh vùc?	6	9	12	15
